system   D            wsystem.c:583  maybe_parent_dir                 [   0.00060] Also searching A:\Projekt Statki c++\STATKI_KOD\
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23388] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23389] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23390] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23391] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23391] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23392] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.23393] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.23394] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.23395] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.23395] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.23410] added dtor for object 0100F708, func 575E20F9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.23541] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.23544] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23605] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23606] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23607] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23608] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23608] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23609] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23610] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23611] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23611] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.23612] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.23613] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.23614] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.23615] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.23634] added dtor for object 0100F808, func 575E20F9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.23754] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.23757] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23824] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23825] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23826] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23827] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23828] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23828] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23829] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23830] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23831] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.23831] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.23832] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.23833] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.23834] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.23852] added dtor for object 0100F978, func 575E20F9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.23989] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.23991] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24053] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24054] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24055] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24056] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24057] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24057] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24062] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24063] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24063] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.24064] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.24065] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.24066] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.24067] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.24081] added dtor for object 0100FA78, func 575E20F9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.24192] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.24195] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24257] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24258] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24259] Fake format
