system   D            wsystem.c:583  maybe_parent_dir                 [   0.00122] Also searching A:\Projekt Statki c++\STATKI_KOD\
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19803] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19804] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19805] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19805] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19806] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19807] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19807] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19808] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.19809] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.19810] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.19811] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.19811] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.19822] added dtor for object 00E44780, func 595820F9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.19970] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.19972] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.20037] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.20038] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.20039] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.20040] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.20041] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.20041] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.20046] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.20047] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.20047] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.20048] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.20049] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.20050] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.20051] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.20065] added dtor for object 00E4DEB0, func 595820F9
